日期,通知人,标题,详情链接,附件名,下载次数,附件链接
2024-08-26,教学运行,关于2024-2025学年第一学期辅修专业补退选、缴费的通知,https://jwch.fzu.edu.cn/info/1036/13639.htm,无,,
2024-08-25,计划科,关于2024-2025学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,https://jwch.fzu.edu.cn/info/1038/13637.htm,2024-2025学年第一学期国情课列表.docx,1180,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901557
2024-08-25,计划科,关于2024-2025学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,https://jwch.fzu.edu.cn/info/1038/13637.htm,港澳台侨学生思政课和军事课程退选申请表.docx,927,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901556
2024-08-25,计划科,关于2024-2025学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/info/1038/13636.htm,超星尔雅使用手册（学生版）.pdf,3259,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901547
2024-08-25,计划科,关于2024-2025学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/info/1038/13636.htm,智慧树学生手册.pptx,1709,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901550
2024-08-25,计划科,关于2024-2025学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/info/1038/13636.htm,慕课堂学生操作手册.pdf,4815,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901548
2024-08-25,质量办,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/13635.htm,附件1：福州大学课堂教学质量评估表.doc,621,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901500
2024-08-25,质量办,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/13635.htm,附件2：高校思政课教学指导组听课评价表.doc,621,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901501
2024-08-25,质量办,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/13635.htm,附件3：2024-2025学年第一学期第一周课表.xlsx,737,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901502
2024-08-25,质量办,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/info/1040/13635.htm,附件4：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc,576,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14901506
2024-08-25,教学运行,关于2024-2025学年第一学期学期选课补退选的通知,https://jwch.fzu.edu.cn/info/1036/13634.htm,无,,
2024-08-02,质量办,关于开展2024年工程教育认证研讨培训的通知,https://jwch.fzu.edu.cn/info/1040/13630.htm,附件1：关于组织2024年工程教育认证研讨培训的通告.docx,688,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14898472
2024-08-02,质量办,关于开展2024年工程教育认证研讨培训的通知,https://jwch.fzu.edu.cn/info/1040/13630.htm,附件2：2024年工程教育认证研讨培训报名回执.docx,540,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14898473
2024-08-01,教学运行,福州大学关于印发《福州大学本科生转专业管理实施办法》的通知,https://jwch.fzu.edu.cn/info/1036/13629.htm,无,,
2024-07-10,实践科,关于转发《关于举办2024年福建省大学生人工智能创意赛暨昇腾AI创新大赛的通知》的通知,https://jwch.fzu.edu.cn/info/1039/13628.htm,附件：关于举办2024年福建省大学生人工智能创意赛暨昇腾AI创新大赛的通知.pdf,1402,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14895469
2024-07-06,实践科,关于公布第十三届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,https://jwch.fzu.edu.cn/info/1039/13617.htm,无,,
2024-07-06,综合科,教务处关于2024年暑假用印安排的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13626,无,,
2024-07-06,实践科,关于公布福州大学2024届本科生优秀毕业设计（论文）名单的通知,https://jwch.fzu.edu.cn/info/1039/13616.htm,附件：福州大学2024届优秀本科生毕业设计（论文）名单.doc,4042,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14638795
2024-07-01,教研教改,福州大学关于公布第八届 远志创业实验班学生名单的通知,https://jwch.fzu.edu.cn/info/1037/13602.htm,无,,
2024-07-01,教学运行,关于2024-2025学年第一学期辅修专业选课的通知,https://jwch.fzu.edu.cn/info/1036/13601.htm,无,,
2024-06-29,综合科,友情提示,https://jwch.fzu.edu.cn/info/1035/13592.htm,无,,
2024-06-26,教学运行,关于做好期末复习考试及下学期开学等工作的通知,https://jwch.fzu.edu.cn/info/1036/13585.htm,无,,
2024-06-26,实践科,关于公布2024年第二十四届数学竞赛获奖名单的通知,https://jwch.fzu.edu.cn/info/1039/13584.htm,无,,
2024-06-26,实践科,关于公布第十五届企业经营模拟沙盘对抗赛获奖名单的通知,https://jwch.fzu.edu.cn/info/1039/13583.htm,无,,
2024-06-25,教材中心,关于召开数字教材建设研讨会的通知,https://jwch.fzu.edu.cn/info/1042/13582.htm,无,,
2024-06-25,计划科,关于核对2024-2025学年第一学期通识教育选修课开课信息的有关通知,https://jwch.fzu.edu.cn/info/1038/13581.htm,无,,
2024-06-21,教研教改,关于转发福建省教育厅办公室《关于举办2024年本科高校课程思政骨干教师、研究生导师培训班的通知》的通知,https://jwch.fzu.edu.cn/info/1037/13580.htm,无,,
2024-06-21,教研教改,关于组织教师和学生参加人工智能赋能高等教育调查报告全国抽样调查问卷的通知,https://jwch.fzu.edu.cn/info/1037/13579.htm,无,,
2024-06-21,教学运行,关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13578.htm,2302 大学物理A（上）、B（上）、C课期末考7.4.xlsx,779,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14625019
2024-06-20,教学运行,关于2023-2024学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13577.htm,2302 大学英语（二）、大学英语（四）课程期末考6.22上午.xlsx,692,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14624676
2024-06-20,教学运行,关于2023-2024学年第二学期《英语专题》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13576.htm,2302 英语专题课期末考6.29.xlsx,747,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14624645
2024-06-19,教学运行,关于2023-2024学年第二学期《工程制图A（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13574.htm,2302 工程制图A（下）、D、F期末考6.30上午.xlsx,661,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14624501
2024-06-17,教学运行,关于2024-2025学年第一学期本科生学期选课的通知,https://jwch.fzu.edu.cn/info/1036/13569.htm,无,,
2024-06-17,教学运行,关于2023-2024学年第二学期《大学英语（三）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13568.htm,2302 大学英语（三）期末考 6.23上午.xlsx,757,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14623875
2024-06-14,实践科,关于转发组织申报福建省高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知,https://jwch.fzu.edu.cn/info/1039/13565.htm,附件1：关于组织申报福建高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知（闽高会[2024]1号）.pdf,721,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14623545
2024-06-14,实践科,关于转发组织申报福建省高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知,https://jwch.fzu.edu.cn/info/1039/13565.htm,附件2：申报材料.zip,618,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14623544
2024-06-12,教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13563.htm,2302高等数学B（下）期末考 6.23下午.xlsx,778,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622718
2024-06-12,教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13563.htm,2302 高等数学C（下）期末考 6.23下午.xlsx,632,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622717
2024-06-12,教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13563.htm,2302 高等数学A（中）期末考 6.23下午.xlsx,691,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622719
2024-06-11,实践科,关于转发《关于举办第十四届海峡两岸信息服务创新大赛暨福建省第十八届计算机软件设计大赛的通知》的通知,https://jwch.fzu.edu.cn/info/1039/13560.htm,闽工信联软件〔2024〕41号福建省工业和信息化厅等八部门关于举办第十四届海峡两岸信息服务创新大赛暨福建省第十八届计算机软件设计大赛的通知.pdf,942,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622014
2024-06-07,实践科,关于公布第三十期本科生科研训练计划立项项目的通知,https://jwch.fzu.edu.cn/info/1039/13559.htm,附件1：福州大学2024年国家级、省级大学生创新创业训练计划推荐立项项目汇总表 .doc,3887,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14622146
2024-06-07,实践科,关于公布第三十期本科生科研训练计划立项项目的通知,https://jwch.fzu.edu.cn/info/1039/13559.htm,附件2：福州大学第30期本科生科研训练计划立项项目汇总表.doc,9166,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14621349
2024-06-05,教研教改,关于组织申报福建省新文科教育研究中心第二批高校新文科建设优秀案例的通知,https://jwch.fzu.edu.cn/info/1037/13555.htm,无,,
2024-06-05,教研教改,福州大学关于公布2022级数理综合班 专业分流学生名单及学科导师名单的通知,https://jwch.fzu.edu.cn/info/1037/13554.htm,无,,
2024-06-05,教研教改,福州大学关于公布2022级数理金融 实验班学生主辅修专业及导师名单的通知,https://jwch.fzu.edu.cn/info/1037/13553.htm,无,,
2024-06-05,计划科,关于2024-2025学年第一学期修读辅修专业学生名单的公示,https://jwch.fzu.edu.cn/info/1038/13548.htm,无,,
2024-06-05,质量办,关于举办福州大学第五十三场“教学有道” 研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/13547.htm,无,,
2024-06-04,教材中心,关于做好2024-2025学年第一学期教材选用及征订工作的通知（更新）,https://jwch.fzu.edu.cn/info/1042/13546.htm,附件1：已出版马克思主义理论研究和建设工程重点教材目录（截至2024年05月，共计116种）.xlsx,927,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620416
2024-06-04,教材中心,关于做好2024-2025学年第一学期教材选用及征订工作的通知（更新）,https://jwch.fzu.edu.cn/info/1042/13546.htm,附件2：全国大中专教学用书目录(2024秋季).xlsx,1053,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620417
2024-06-04,教学运行,关于2023-2024学年第二学期《马克思主义基本原理》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13545.htm,2302  马克思主义基本原理 期末考试.xlsx,713,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620411
2024-06-04,教学运行,关于2023-2024学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13544.htm,2302 毛泽东思想和中国特色社会主义理论体系概论  期末考.xlsx,669,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620410
2024-05-30,教学通知,福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,https://jwch.fzu.edu.cn/info/1012/13538.htm,附件4：推荐委员信息一览表.xlsx,756,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619035
2024-05-30,教学通知,福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,https://jwch.fzu.edu.cn/info/1012/13538.htm,附件2：专家推荐信息表.docx,599,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619038
2024-05-30,教学通知,福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,https://jwch.fzu.edu.cn/info/1012/13538.htm,附件1：教育部办公厅关于推荐新一届教指委委员的通知.pdf,498,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619036
2024-05-30,教学通知,福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,https://jwch.fzu.edu.cn/info/1012/13538.htm,附件3：推荐委员汇总表.xlsx,487,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619037
2024-05-30,教学运行,关于2024年端午放假课程调整的通知,https://jwch.fzu.edu.cn/info/1036/13536.htm,无,,
2024-05-29,教学运行,关于2023-2024学年第二学期《工程制图（C）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13533.htm,2302 工程制图C（下）期末考试 6.16下午.xlsx,614,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14618057
2024-05-29,教学运行,关于2023-2024学年第二学期《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13532.htm,2302 德法 期末考.xlsx,668,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14618055
2024-05-27,教学运行,关于2023-2024学年第二学期《概率论与数理统计》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13531.htm,2302 概率期末考 6.2下午.xlsx,686,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14615348
2024-05-24,教学运行,关于2023-2024学年第二学期《中国近现代史纲要》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13530.htm,2302 近现代 期末考试.xlsx,850,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613665
2024-05-24,教学运行,关于2023-2024学年第二学期《线性代数》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13529.htm,2302 线性代数期末考 6.2下午.xlsx,708,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613663
2024-05-22,实践科,关于公布2024年本科生创新创业实践与素质拓展学分认定结果的通知,https://jwch.fzu.edu.cn/info/1039/13525.htm,附件：福州大学本科生创新创业实践与素质拓展学分认定汇总表.doc,2752,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613260
2024-05-22,教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,https://jwch.fzu.edu.cn/info/1037/13524.htm,附件1：福建省教育厅办公室关于开展高校优秀拔尖创新人才培养案例研究工作的通知.pdf,757,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613252
2024-05-22,教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,https://jwch.fzu.edu.cn/info/1037/13524.htm,附件2：案例撰写格式.docx,633,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613251
2024-05-22,教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,https://jwch.fzu.edu.cn/info/1037/13524.htm,附件4：案例汇总表.docx,620,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613254
2024-05-22,教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,https://jwch.fzu.edu.cn/info/1037/13524.htm,附件3：案例申报表.docx,578,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613253
2024-05-17,教研教改,福州大学关于开展第八届远志创业实验班招生工作的通知,https://jwch.fzu.edu.cn/info/1037/13513.htm,附件1：福州大学第八届远志创业实验班招生简章.docx,1575,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612014
2024-05-17,教研教改,福州大学关于开展第八届远志创业实验班招生工作的通知,https://jwch.fzu.edu.cn/info/1037/13513.htm,附件2：远志创业实验班修读申请表.docx,854,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14612015
2024-05-15,教学运行,关于2023-2024学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13501.htm,2302习概论期末考试.xlsx,815,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611555
2024-05-15,教学运行,关于2025届预计毕业生核对电子注册学历信息的通知,https://jwch.fzu.edu.cn/info/1036/13497.htm,无,,
2024-05-15,教学运行,关于2023-2024学年第二学期计算机语言类课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13491.htm,2302计算机语言课期末考试6.1.xlsx,843,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14611191
2024-05-11,实践科,关于公布第十届桥梁设计大赛获奖名单的通知,https://jwch.fzu.edu.cn/info/1039/13481.htm,无,,
2024-05-10,实践科,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,https://jwch.fzu.edu.cn/info/1039/13479.htm,国创省创结题附件.zip,1305,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14608195
2024-05-10,实践科,关于做好第二十八期、二十九期本科生科研训练计划项目结题工作的通知,https://jwch.fzu.edu.cn/info/1039/13478.htm,无,,
2024-05-09,教材中心,关于举办福州大学第五十二场“教学有道” 研讨活动的通知,https://jwch.fzu.edu.cn/info/1042/13477.htm,无,,
2024-05-08,综合科,关于2023-2024学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,https://jwch.fzu.edu.cn/info/1035/13475.htm,无,,
2024-05-07,计划科,2023-2024学年第二学期在校学生申请辅修专业的通知,https://jwch.fzu.edu.cn/info/1038/13473.htm,无,,
2024-05-06,计划科,关于组织申报2024-2025学年第一学期通识教育选修课的通知,https://jwch.fzu.edu.cn/info/1038/13472.htm,无,,
2024-04-30,实践科,关于公布第四届福州大学大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,https://jwch.fzu.edu.cn/info/1039/13470.htm,无,,
2024-04-30,实践科,福州大学关于公布第二十一届程序设计竞赛获奖名单的通知,https://jwch.fzu.edu.cn/info/1039/13469.htm,无,,
2024-04-29,教材中心,关于开展2024年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/info/1042/13417.htm,附件1：福州大学教材管理实施细则（试行）.pdf,859,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620223
2024-04-29,教材中心,关于开展2024年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/info/1042/13417.htm,附件2：福州大学本科教材编写人员汇总表.docx,665,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620221
2024-04-29,教材中心,关于开展2024年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/info/1042/13417.htm,附件3：福州大学本科教材编写人员审核表.docx,511,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918142
2024-04-29,教材中心,关于开展2024年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/info/1042/13417.htm,附件4：福州大学本科教材校外编写人员审核表.docx,631,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620634
2024-04-29,教材中心,关于开展2024年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/info/1042/13417.htm,附件5：福州大学本科教材编写审核表.docx,729,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620225
2024-04-29,教材中心,关于开展2024年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/info/1042/13417.htm,附件6：2024年福州大学拟出版教材汇总表.xlsx,647,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620226
2024-04-28,实践科,关于对2024届本科毕业设计（论文）试行AIGC检测的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13415,无,,
2024-04-28,教学运行,关于2023-2024学年第二学期《工程制图E》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13414.htm,2302 工程制图E期末考试 5.12上午.xlsx,713,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604454
2024-04-26,实践科,关于公布福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛获奖名单的通知,https://jwch.fzu.edu.cn/info/1039/13413.htm,无,,
2024-04-26,实践科,关于开展2024届本科毕业设计（论文）抽检送审工作的通知,https://jwch.fzu.edu.cn/info/1039/13411.htm,附件2：2024届福州大学本科毕业设计（论文）抽检情况汇总表.xls,3226,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604109
2024-04-26,实践科,关于开展2024届本科毕业设计（论文）抽检送审工作的通知,https://jwch.fzu.edu.cn/info/1039/13411.htm,附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx,2673,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604108
2024-04-26,质量办,关于举办福州大学第五十一场“教学有道”  研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/13410.htm,无,,
2024-04-26,教学运行,关于2024年五一劳动节放假课程调整的通知,https://jwch.fzu.edu.cn/info/1036/13409.htm,无,,
2024-04-24,质量办,关于举办福州大学第五十场“教学有道”  研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/13408.htm,无,,
2024-04-24,教学运行,关于2023-2024-02学期体育理论课安排的通知,https://jwch.fzu.edu.cn/info/1036/13406.htm,无,,
2024-04-23,实践科,关于举办2024年福州大学第二十四届数学竞赛的通知,https://jwch.fzu.edu.cn/info/1039/13405.htm,附件3：福州大学第二十四届数学竞赛大纲.pdf,2797,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14602578
2024-04-22,实践科,福州大学关于公布第八届网络信息安全竞赛获奖名单的通知,https://jwch.fzu.edu.cn/info/1039/13403.htm,无,,
2024-04-19,实践科,关于举办福州大学第六届大学生机器人竞赛的通知,https://jwch.fzu.edu.cn/info/1039/13397.htm,附件.zip,759,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14601554
2024-04-19,实践科,关于举办福州大学第十八届数学建模竞赛的通知,https://jwch.fzu.edu.cn/info/1039/13396.htm,无,,
2024-04-17,实践科,关于举办福州大学第二十一届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,https://jwch.fzu.edu.cn/info/1039/13391.htm,无,,
2024-04-17,质量办,关于举办福州大学第四十九场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/13390.htm,无,,
2024-04-12,综合科,关于第61届中国高等教育博览会的参会指南,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13378,无,,
2024-04-11,计划科,关于召开2024版本科人才培养方案修订工作专题会议的通知,https://jwch.fzu.edu.cn/info/1038/13379.htm,无,,
2024-04-10,实践科,关于对2024届本科毕业设计（论文）进行查重检测的通知,https://jwch.fzu.edu.cn/info/1039/13375.htm,附件：维普论文检测系统查重标准及格式报告说明.doc,8309,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592996
2024-04-10,教学运行,关于2024届预计毕业生补拍电子注册学历照片的通知,https://jwch.fzu.edu.cn/info/1036/13374.htm,附件2：获得图像采集码途径.pdf,937,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592958
2024-04-10,教学运行,关于2024届预计毕业生补拍电子注册学历照片的通知,https://jwch.fzu.edu.cn/info/1036/13374.htm,附件1：行政北楼平面图.pdf,731,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592957
2024-04-08,质量办,关于开展2023年新上岗教师课堂授课达标考核的通知,https://jwch.fzu.edu.cn/info/1040/13353.htm,附件1：2023年福州大学新上岗教师教学达标培训班名单汇总表.xlsx,937,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592375
2024-04-08,质量办,关于开展2023年新上岗教师课堂授课达标考核的通知,https://jwch.fzu.edu.cn/info/1040/13353.htm,附件2：2023年新上岗教师课堂授课达标考核情况汇总表-学院一式三份报教务处.docx,709,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592376
2024-04-07,教学运行,关于2023-2024学年第二学期《线性代数》课程半期考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13352.htm,2302线代半期考4.27上午.xlsx,828,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591952
