,通知人,标题,日期,详细链接,附件
362,实践科,关于对2024届本科毕业设计（论文）进行查重检测的通知,2024-04-10,https://jwch.fzu.edu.cn//info/1039/13375.htm,"[{'附件名': '【附件：维普论文检测系统查重标准及格式报告说明.doc', '下载词数': 8313, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592996'}]"
363,教学运行,关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》课程半期考试安排的通知,2024-04-07,https://jwch.fzu.edu.cn//info/1036/13351.htm,"[{'附件名': '【2302大物半期考4.21下午.xlsx', '下载词数': 837, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591958'}]"
364,教学运行,关于2023-2024学年第二学期《线性代数》课程半期考试安排的通知,2024-04-07,https://jwch.fzu.edu.cn//info/1036/13352.htm,"[{'附件名': '【2302线代半期考4.27上午.xlsx', '下载词数': 837, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591952'}]"
365,实践科,关于举办福州大学第十五届企业经营模拟沙盘对抗赛的通知,2024-03-27,https://jwch.fzu.edu.cn//info/1039/13335.htm,"[{'附件名': '【附件：福州大学第十五届企业经营模拟沙盘对抗赛报名表.doc', '下载词数': 1012, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589204'}]"
366,教学运行,关于2023-2024学年第二学期重新学习选课、缴费的通知,2024-03-11,https://jwch.fzu.edu.cn//info/1036/13306.htm,[]
367,计划科,关于2023-2024学年第二学期爱课程平台参加通识教育选修课学习的重要提示,2024-03-11,https://jwch.fzu.edu.cn//info/1038/13305.htm,[]
368,综合科,关于更改2023-2024学年春季学期期初本科教育教学工作会议时间的通知,2024-03-14,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13313,[]
369,综合科,关于召开2023-2024学年春季学期期初本科教育教学工作会议的通知,2024-03-13,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13309,[]
370,实践科,关于举办福州大学第四届大学生先进成图技术与产品信息建模创新大赛的通知,2024-03-27,https://jwch.fzu.edu.cn//info/1039/13333.htm,"[{'附件名': '【附件2：福州大学第四届大学生先进成图技术与产品信息建模创新大赛报名表.xls', '下载词数': 878, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589086'}]"
371,教学运行,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程半期考试安排的通知,2024-04-03,https://jwch.fzu.edu.cn//info/1036/13348.htm,"[{'附件名': '【2302高数半期考4.14上午.xlsx', '下载词数': 962, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591438'}]"
372,教学运行,关于2023-2024学年第二学期《概率论与数理统计》课程半期考试安排的通知,2024-04-03,https://jwch.fzu.edu.cn//info/1036/13349.htm,"[{'附件名': '【2302概率半期考4.14下午.xlsx', '下载词数': 727, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14591439'}]"
373,实践科,关于参加2024年（第十届）全国大学生统计建模大赛的通知,2024-03-05,https://jwch.fzu.edu.cn//info/1039/13296.htm,[]
374,计划科,关于公布2023-2024学年第二学期通选课取消开课名单的通知,2024-03-04,https://jwch.fzu.edu.cn//info/1038/13293.htm,[]
375,综合科,关于2023-2024学年第二学期本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2024-02-29,https://jwch.fzu.edu.cn//info/1035/13280.htm,[]
376,实践科,关于举办福州大学第十四届大学生节能减排社会实践与科技竞赛暨第十届材料创新、设计及应用竞赛的通知,2024-03-22,https://jwch.fzu.edu.cn//info/1039/13331.htm,"[{'附件名': '【附件1-4.doc', '下载词数': 853, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14587055'}]"
377,实践科,关于转发《关于邀请省内高校大学生参与2024数字中国创新大赛的函》的通知,2024-03-12,https://jwch.fzu.edu.cn//info/1039/13308.htm,"[{'附件名': '【附件：数字中国建设峰会组委会秘书处关于商请邀请省内高校学生参与2024数字中国创新大赛的函.pdf', '下载词数': 1326, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14583438'}]"
378,教研教改,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,2024-05-22,https://jwch.fzu.edu.cn//info/1037/13524.htm,"[{'附件名': '【附件1：福建省教育厅办公室关于开展高校优秀拔尖创新人才培养案例研究工作的通知.pdf', '下载词数': 763, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613252'}, {'附件名': '【附件2：案例撰写格式.docx', '下载词数': 637, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613251'}, {'附件名': '【附件4：案例汇总表.docx', '下载词数': 626, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613254'}, {'附件名': '【附件3：案例申报表.docx', '下载词数': 581, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14613253'}]"
379,教学运行,关于2024届预计毕业生补拍电子注册学历照片的通知,2024-04-10,https://jwch.fzu.edu.cn//info/1036/13374.htm,"[{'附件名': '【附件2：获得图像采集码途径.pdf', '下载词数': 947, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592958'}, {'附件名': '【附件1：行政北楼平面图.pdf', '下载词数': 738, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592957'}]"
380,实践科,关于组织开展第十七届中国大学生计算机设计大赛福州大学校内预选赛的通知,2024-03-27,https://jwch.fzu.edu.cn//info/1039/13334.htm,"[{'附件名': '【附件2 2024年（第17届）中国大学生计算机设计大赛——校内选拔赛报名表.xlsx', '下载词数': 905, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589111'}, {'附件名': '【附件1：中大计赛函[2024]1 号 关于举办“2024 年（第 17 届）中国大学生计算机设计大赛”的 通 知.pdf', '下载词数': 1234, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14589112'}]"
381,教学运行,关于2023-2024第二学期学期选课、辅修选课补退选的通知,2024-02-25,https://jwch.fzu.edu.cn//info/1036/13275.htm,[]
382,实践科,关于开展2024届本科毕业设计（论文）抽检送审工作的通知,2024-04-26,https://jwch.fzu.edu.cn//info/1039/13411.htm,"[{'附件名': '【附件2：2024届福州大学本科毕业设计（论文）抽检情况汇总表.xls', '下载词数': 3232, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604109'}, {'附件名': '【附件1：福建省本科毕业论文（设计）抽检评议要素（试行）.docx', '下载词数': 2678, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14604108'}]"
383,教学通知,福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,2024-05-30,https://jwch.fzu.edu.cn//info/1012/13538.htm,"[{'附件名': '【附件4：推荐委员信息一览表.xlsx', '下载词数': 765, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619035'}, {'附件名': '【附件2：专家推荐信息表.docx', '下载词数': 605, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619038'}, {'附件名': '【附件1：教育部办公厅关于推荐新一届教指委委员的通知.pdf', '下载词数': 506, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619036'}, {'附件名': '【附件3：推荐委员汇总表.xlsx', '下载词数': 492, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14619037'}]"
384,质量办,关于开展2023年新上岗教师课堂授课达标考核的通知,2024-04-08,https://jwch.fzu.edu.cn//info/1040/13353.htm,"[{'附件名': '【附件1：2023年福州大学新上岗教师教学达标培训班名单汇总表.xlsx', '下载词数': 944, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592375'}, {'附件名': '【附件2：2023年新上岗教师课堂授课达标考核情况汇总表-学院一式三份报教务处.docx', '下载词数': 714, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14592376'}]"
385,综合科,教务处关于2024年寒假用印安排的通知,2024-01-20,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13252,[]
386,质量办,关于上报学院本科教育教学质量保障2023年工作总结和2024年工作计划的通知,2024-01-12,https://jwch.fzu.edu.cn//info/1040/13248.htm,[]
387,实践科,关于做好第三十期本科生科研训练计划项目立项申报工作的通知,2024-03-05,https://jwch.fzu.edu.cn//info/1039/13294.htm,"[{'附件名': '【第30期SRTP附件.zip', '下载词数': 3921, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14581442'}]"
388,计划科,关于核对2023-2024学年第二学期通识教育选修课开课信息的通知,2024-01-11,https://jwch.fzu.edu.cn//info/1038/13245.htm,[]
389,综合科,关于召开2023-2024学年秋季学期期末本科教育教学工作会议的通知,2024-01-10,https://jwch.fzu.edu.cn//info/1035/13242.htm,[]
390,教学运行,关于做好期末复习考试及下学期开学等工作的通知,2024-01-03,https://jwch.fzu.edu.cn//info/1036/13221.htm,[]
391,教学运行,关于2023-2024学年第二学期辅修专业选课的通知,2024-01-09,https://jwch.fzu.edu.cn//info/1036/13241.htm,[]
392,计划科,关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,2024-02-27,https://jwch.fzu.edu.cn//info/1038/13283.htm,"[{'附件名': '【附件1国际化拔尖创新人才科研训练具体课程清单.xlsx', '下载词数': 2898, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14580133'}]"
393,实践科,关于2024届本科毕业生创新创业实践与素质拓展学分认定工作的通知,2024-02-26,https://jwch.fzu.edu.cn//info/1039/13281.htm,"[{'附件名': '【福州大学本科生创新创业实践与素质拓展学分申报汇总表、申请表.doc', '下载词数': 2664, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579917'}]"
394,实践科,关于对2023年学院教学有关数据进行统计的通知,2024-02-25,https://jwch.fzu.edu.cn//info/1039/13278.htm,"[{'附件名': '【2023年学院教学有关数据统计表格下载.zip', '下载词数': 1008, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579832'}]"
395,计划科,关于2023-2024学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,2024-02-25,https://jwch.fzu.edu.cn//info/1038/13279.htm,"[{'附件名': '【2023-2024学年第二学期国情课列表.docx', '下载词数': 1143, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579883'}]"
396,教学运行,关于2024年春季学期《大学物理实验》绪论课程教室安排的通知,2024-01-20,https://jwch.fzu.edu.cn//info/1036/13254.htm,"[{'附件名': '【2024大物实验（上）绪论排课.xlsx', '下载词数': 1160, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14576449'}]"
397,教学运行,关于2023-2024学年第二学期本科生学期选课的通知,2023-12-25,https://jwch.fzu.edu.cn//info/1036/13198.htm,[]
398,实践科,关于公布首批大学生示范性校外实践教学基地名单的通知,2023-12-28,https://jwch.fzu.edu.cn//info/1039/13206.htm,[]
399,实践科,关于组织参加2024年美国大学生数学建模竞赛通知,2024-01-08,https://jwch.fzu.edu.cn//info/1039/13231.htm,"[{'附件名': '【附录：2024年2月美国大学生数学建模竞赛介绍及参赛流程.pdf', '下载词数': 5373, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14573632'}]"
400,教学运行,关于做好2024年3月退役复学学生转专业的通知,2024-02-27,https://jwch.fzu.edu.cn//info/1036/13284.htm,"[{'附件名': '【福州大学参军退伍复学后学生转专业审批表.doc', '下载词数': 731, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14580283'}, {'附件名': '【福州大学本科生转专业管理实施办法（暂行）.docx', '下载词数': 976, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14580282'}]"
401,教学运行,关于2023-2024学年第一学期《高等数学C（上）》、《高等数学D》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn//info/1036/13213.htm,"[{'附件名': '【2301高等数学C（上）、D期末考试 1.19下午.xlsx', '下载词数': 1026, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571714'}]"
402,教学运行,关于2024年元旦放假课程调整的通知,2023-12-25,https://jwch.fzu.edu.cn//info/1036/13197.htm,[]
403,质量办,关于组织教师参加第四届福建省教师教学创新大赛产教融合赛道的通知,2024-03-06,https://jwch.fzu.edu.cn//info/1040/13301.htm,"[{'附件名': '【附件2 福州大学教师教学创新大赛产教融合赛道 学院推荐名单汇总表.docx', '下载词数': 758, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14581598'}, {'附件名': '【附件1 关于举办第第四届全国高校教师教学创新大赛产教融合赛道赛事的通知.pdf', '下载词数': 1457, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14581597'}]"
404,教学运行,关于2023-2024学年第一学期《高等数学A（上）》、《高等数学B（上）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn//info/1036/13212.htm,"[{'附件名': '【2301高等数学A（上）、B（上）期末考试 1.19上午.xlsx', '下载词数': 1144, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571713'}]"
405,质量办,福州大学关于公布2023年教师教学创新大赛获奖名单的通知,2023-12-26,https://jwch.fzu.edu.cn//info/1040/13201.htm,[]
406,教研教改,关于转发教育部高等教育司《关于公布2023年产学合作协同育人项目立项名单的通知》的通知,2023-12-21,https://jwch.fzu.edu.cn//info/1037/13196.htm,[]
407,教学运行,关于2023-2024学年第一学期《大学物理A（下）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn//info/1036/13211.htm,"[{'附件名': '【2301大学物理A（下）期末考试 1.18上午.xlsx', '下载词数': 849, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571712'}]"
408,教学运行,关于2023-2024学年第一学期《工程制图A（上）》、《工程制图C（上）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn//info/1036/13208.htm,"[{'附件名': '【2301制图A(上）、C（上）、D、F期末考试 1.13上午.xlsx', '下载词数': 773, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571709'}]"
409,教学运行,关于2023-2024学年第一学期《大学英语（二）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn//info/1036/13210.htm,"[{'附件名': '【2301大学英语（二）期末考试 1.15上午、下午.xlsx', '下载词数': 991, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571711'}]"
410,教学运行,关于2023-2024学年第一学期《大学英语（一）》、《大学英语（三）》课程期末考试安排的通知,2024-01-02,https://jwch.fzu.edu.cn//info/1036/13209.htm,"[{'附件名': '【2301大学英语（一）、（三）期末考试 1.14上午.xlsx', '下载词数': 732, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14571710'}]"
411,实践科,关于公布大学生校外实践教学基地检查结果的通知,2023-12-29,https://jwch.fzu.edu.cn//info/1039/13207.htm,"[{'附件名': '【附件：福州大学大学生校外实践教学基地检查评估结果汇总表.xlsx', '下载词数': 1254, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14569528'}]"
412,计划科,关于2023-2024学年第二学期通识教育选修课选课的通知,2024-02-25,https://jwch.fzu.edu.cn//info/1038/13277.htm,"[{'附件名': '【超星尔雅使用手册（学生版）.pdf', '下载词数': 2622, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579829'}, {'附件名': '【24春夏智慧树学生手册更新（可导学用）最新E(2).pptx', '下载词数': 750, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14583720'}, {'附件名': '【慕课堂学生操作手册.pdf', '下载词数': 2556, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579831'}]"
413,教学运行,关于2023-2024学年第一学期计算机语言类课程期末考试安排的通知,2023-12-21,https://jwch.fzu.edu.cn//info/1036/13193.htm,"[{'附件名': '【2301 计算机语言期末考试 1.6上午.xlsx', '下载词数': 733, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13182800'}]"
414,教学运行,关于2023-2024学年第一学期《大学英语（四）》课程期末考试安排的通知,2023-12-21,https://jwch.fzu.edu.cn//info/1036/13195.htm,"[{'附件名': '【2301英语四期末考试 1.7下午.xlsx', '下载词数': 962, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13182804'}]"
415,教学运行,关于2023-2024学年第一学期《思想道德与法治》课程期末考试安排的通知,2023-12-18,https://jwch.fzu.edu.cn//info/1036/13182.htm,"[{'附件名': '【2301思法随堂考.xlsx', '下载词数': 1401, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13180641'}]"
416,教研教改,关于公布2023年福州大学课程思政示范项目立项建设名单的通知,2023-11-28,https://jwch.fzu.edu.cn//info/1037/13151.htm,[]
417,综合科,关于组织教师参加第61届中国高等教育博览会的通知,2024-04-02,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13347,"[{'附件名': '【附件4：参会教师名单收集汇总表.xls', '下载词数': 462, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590885'}, {'附件名': '【附件2：高博会日程总览.jpg', '下载词数': 433, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590884'}, {'附件名': '【附件3：报名二维码.doc', '下载词数': 370, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590883'}, {'附件名': '【附件1：各单位选派教师参会名额安排表.xlsx', '下载词数': 448, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14590882'}]"
418,计划科,关于2023-2024学年第二学期修读辅修专业学生名单的公示,2023-12-04,https://jwch.fzu.edu.cn//info/1038/13154.htm,[]
419,综合科,关于2023-2024学年第一学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,2023-11-14,https://jwch.fzu.edu.cn//info/1035/13132.htm,[]
420,实践科,关于做好2023年省级以上大学生创新创业训练计划项目和第二十九期本科生科研训练计划项目中期检查工作的通知,2023-12-19,https://jwch.fzu.edu.cn//info/1039/13191.htm,"[{'附件名': '【附件.zip', '下载词数': 2413, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13181295'}]"
421,教学运行,关于2023-2024学年第一学期《中国近现代史纲要》课程期末考试安排的通知,2023-12-18,https://jwch.fzu.edu.cn//info/1036/13181.htm,"[{'附件名': '【2301 近现代史纲要期末考 .xlsx', '下载词数': 1206, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13180640'}]"
422,教学运行,关于2023-2024学年第一学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,2023-12-21,https://jwch.fzu.edu.cn//info/1036/13194.htm,"[{'附件名': '【2301线代期末考试 1.7上午.xlsx', '下载词数': 843, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13182803'}]"
423,质量办,关于开学第一周集中听课的通知,2024-02-25,https://jwch.fzu.edu.cn//info/1040/13276.htm,"[{'附件名': '【附件1：福州大学课堂教学质量评估表.doc', '下载词数': 634, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579817'}, {'附件名': '【附件2：2023-2024学年第二学期第一周课表.xlsx', '下载词数': 685, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579818'}, {'附件名': '【附件3：福州大学党政领导听课管理实施办法（福大教〔2022〕27号）.doc', '下载词数': 567, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14579819'}]"
424,教学运行,关于2023-2024学年第一学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2023-12-05,https://jwch.fzu.edu.cn//info/1036/13162.htm,"[{'附件名': '【2301 毛概论期末随堂考.xlsx', '下载词数': 1023, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13175476'}]"
425,教研教改,关于开展福建省高校第二批课程思政优秀教学案例推荐工作的通知,2023-12-26,https://jwch.fzu.edu.cn//info/1037/13203.htm,"[{'附件名': '【福建省高校课程思政教育联盟关于开展第二批课程思政优秀教学案例征集工作的通知20231127.docx', '下载词数': 1097, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13183975'}, {'附件名': '【福建省高校课程思政教育联盟关于开展第二批课程思政优秀教学案例征集工作的通知（含章）.pdf', '下载词数': 1423, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13183976'}]"
426,质量办,关于2023年新上岗教师教学达标培训班教师配备导师的通知,2023-12-15,https://jwch.fzu.edu.cn//info/1040/13173.htm,"[{'附件名': '【2023年福州大学新上岗教师教学达标培训班名单（配导师）.xlsx', '下载词数': 1534, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13179265'}]"
427,实践科,关于推荐申报实验教学和教学实验室建设研究项目的通知,2024-02-06,https://jwch.fzu.edu.cn//info/1039/13272.htm,"[{'附件名': '【附件1：实验教学和教学实验室建设研究项目申报书.docx', '下载词数': 970, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14578976'}, {'附件名': '【附件2：实验教学和教学实验室建设研究项目推荐汇总表（福建省）.xls', '下载词数': 863, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14578975'}, {'附件名': '【附件3：教高司函〔2024〕1号教育部高等教育司关于开展实验教学和教学实验室建设研究工作的通知（3月29日前）.pdf', '下载词数': 1024, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14578977'}]"
428,计划科,关于组织申报2023-2024学年第二学期通识教育选修课的通知,2023-11-13,https://jwch.fzu.edu.cn//info/1038/13121.htm,[]
429,教学运行,关于2023-2024学年第一学期《马克思主义基本原理》课程期末考试安排的通知,2023-12-05,https://jwch.fzu.edu.cn//info/1036/13163.htm,"[{'附件名': '【2301 马克思主义基本原理期末随堂考.xlsx', '下载词数': 973, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13175500'}]"
430,实践科,关于开展大学生校外实践教学基地抽检评审的通知,2023-11-29,https://jwch.fzu.edu.cn//info/1039/13152.htm,"[{'附件名': '【附件：福州大学大学生校外实践教学基地抽查评审一览表.xlsx', '下载词数': 1337, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13173085'}]"
431,教材中心,转发教育部办公厅关于印发《 “十四五”普通高等教育本科国家级规划教材建设实施方案》的通知,2023-12-05,https://jwch.fzu.edu.cn//info/1042/13164.htm,"[{'附件名': '【教育部办公厅关于印发《“十四五”普通高等教育本科国家级规划教材建设实施方案》的通知.pdf', '下载词数': 954, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13175516'}]"
432,教材中心,关于开展2024年拟出版本科教材审核工作的通知,2024-04-29,https://jwch.fzu.edu.cn//info/1042/13417.htm,"[{'附件名': '【附件1：福州大学教材管理实施细则（试行）.pdf', '下载词数': 868, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620223'}, {'附件名': '【附件2：福州大学本科教材编写人员汇总表.docx', '下载词数': 671, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620221'}, {'附件名': '【附件3：福州大学本科教材编写人员审核表.docx', '下载词数': 514, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14918142'}, {'附件名': '【附件4：福州大学本科教材校外编写人员审核表.docx', '下载词数': 637, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620634'}, {'附件名': '【附件5：福州大学本科教材编写审核表.docx', '下载词数': 732, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620225'}, {'附件名': '【附件6：2024年福州大学拟出版教材汇总表.xlsx', '下载词数': 651, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=14620226'}]"
433,教研教改,关于转发福建省高等教育研究院《“福建省高等教育改革与研究项目”申报通知》的通知,2023-11-13,https://jwch.fzu.edu.cn//info/1037/13122.htm,[]
434,实践科,关于做好2024届本科生毕业设计（论文）工作的通知,2023-12-04,https://jwch.fzu.edu.cn//info/1039/13155.htm,"[{'附件名': '【附件：2024届福州大学本科生毕业设计（论文）有关表格.zip', '下载词数': 4280, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13175534'}]"
435,实践科,关于公布第十五届蓝桥杯全国软件和信息技术专业人才大赛省赛参赛资格名单的通知,2023-11-22,https://jwch.fzu.edu.cn//info/1039/13142.htm,"[{'附件名': '【附件1.docx', '下载词数': 2277, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13169777'}]"
436,教学运行,关于2023-2024学年第一学期《概率论与数理统计》课程期末考试安排的通知,2023-11-27,https://jwch.fzu.edu.cn//info/1036/13147.htm,"[{'附件名': '【2301概率期末考12.17上午.xlsx', '下载词数': 923, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13171845'}]"
437,教学运行,关于2023-2024学年第一学期《大学物理B（下）》课程期末考试安排的通知,2023-11-27,https://jwch.fzu.edu.cn//info/1036/13146.htm,"[{'附件名': '【2301大物B（下）期末考12.17下午.xlsx', '下载词数': 972, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=13171844'}]"
438,计划科,关于2023-2024学年第一学期在校学生申请辅修专业的通知,2023-11-06,https://jwch.fzu.edu.cn//info/1038/13094.htm,[]
